x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,xt,yt
969,302,969,302,969,302,918,244,870,94,829,89,819,73
969,302,969,302,918,244,870,94,829,89,819,73,953,111
969,302,918,244,870,94,829,89,819,73,953,111,1057,93
918,244,870,94,829,89,819,73,953,111,1057,93,1057,92
870,94,829,89,819,73,953,111,1057,93,1057,92,889,71
829,89,819,73,953,111,1057,93,1057,92,889,71,826,68
819,73,953,111,1057,93,1057,92,889,71,826,68,825,67
953,111,1057,93,1057,92,889,71,826,68,825,67,835,84
1057,93,1057,92,889,71,826,68,825,67,835,84,895,116
1057,92,889,71,826,68,825,67,835,84,895,116,880,124
889,71,826,68,825,67,835,84,895,116,880,124,959,193
826,68,825,67,835,84,895,116,880,124,959,193,965,186
825,67,835,84,895,116,880,124,959,193,965,186,1039,130
835,84,895,116,880,124,959,193,965,186,1039,130,1039,130
895,116,880,124,959,193,965,186,1039,130,1039,130,1039,130
880,124,959,193,965,186,1039,130,1039,130,1039,130,1039,130
959,193,965,186,1039,130,1039,130,1039,130,1039,130,1039,130
965,186,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,130,1039,130,1039,130,1039,130,1039,130,1039,130,1044,173
1039,130,1039,130,1039,130,1039,130,1039,130,1044,173,902,195
1039,130,1039,130,1039,130,1039,130,1044,173,902,195,1071,15
1039,130,1039,130,1039,130,1044,173,902,195,1071,15,991,53
1039,130,1039,130,1044,173,902,195,1071,15,991,53,1078,27
1039,130,1044,173,902,195,1071,15,991,53,1078,27,1080,27
1044,173,902,195,1071,15,991,53,1078,27,1080,27,420,0
902,195,1071,15,991,53,1078,27,1080,27,420,0,350,0
1071,15,991,53,1078,27,1080,27,420,0,350,0,319,12
991,53,1078,27,1080,27,420,0,350,0,319,12,317,12
1078,27,1080,27,420,0,350,0,319,12,317,12,429,296
1080,27,420,0,350,0,319,12,317,12,429,296,427,315
420,0,350,0,319,12,317,12,429,296,427,315,427,316
350,0,319,12,317,12,429,296,427,315,427,316,427,316
319,12,317,12,429,296,427,315,427,316,427,316,430,315
317,12,429,296,427,315,427,316,427,316,430,315,431,314
429,296,427,315,427,316,427,316,430,315,431,314,431,314
427,315,427,316,427,316,430,315,431,314,431,314,431,314
427,316,427,316,430,315,431,314,431,314,431,314,432,314
427,316,430,315,431,314,431,314,431,314,432,314,433,314
430,315,431,314,431,314,431,314,432,314,433,314,433,314
431,314,431,314,431,314,432,314,433,314,433,314,433,314
431,314,431,314,432,314,433,314,433,314,433,314,433,312
431,314,432,314,433,314,433,314,433,314,433,312,497,153
