xt,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
819,969,302,969,302,969,302,918,244,870,94,829,89
953,969,302,969,302,918,244,870,94,829,89,819,73
1057,969,302,918,244,870,94,829,89,819,73,953,111
1057,918,244,870,94,829,89,819,73,953,111,1057,93
889,870,94,829,89,819,73,953,111,1057,93,1057,92
826,829,89,819,73,953,111,1057,93,1057,92,889,71
825,819,73,953,111,1057,93,1057,92,889,71,826,68
835,953,111,1057,93,1057,92,889,71,826,68,825,67
895,1057,93,1057,92,889,71,826,68,825,67,835,84
880,1057,92,889,71,826,68,825,67,835,84,895,116
959,889,71,826,68,825,67,835,84,895,116,880,124
965,826,68,825,67,835,84,895,116,880,124,959,193
1039,825,67,835,84,895,116,880,124,959,193,965,186
1039,835,84,895,116,880,124,959,193,965,186,1039,130
1039,895,116,880,124,959,193,965,186,1039,130,1039,130
1039,880,124,959,193,965,186,1039,130,1039,130,1039,130
1039,959,193,965,186,1039,130,1039,130,1039,130,1039,130
1039,965,186,1039,130,1039,130,1039,130,1039,130,1039,130
1039,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
1039,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
