yt,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
73,969,302,969,302,969,302,918,244,870,94,829,89
111,969,302,969,302,918,244,870,94,829,89,819,73
93,969,302,918,244,870,94,829,89,819,73,953,111
92,918,244,870,94,829,89,819,73,953,111,1057,93
71,870,94,829,89,819,73,953,111,1057,93,1057,92
68,829,89,819,73,953,111,1057,93,1057,92,889,71
67,819,73,953,111,1057,93,1057,92,889,71,826,68
84,953,111,1057,93,1057,92,889,71,826,68,825,67
116,1057,93,1057,92,889,71,826,68,825,67,835,84
124,1057,92,889,71,826,68,825,67,835,84,895,116
193,889,71,826,68,825,67,835,84,895,116,880,124
186,826,68,825,67,835,84,895,116,880,124,959,193
130,825,67,835,84,895,116,880,124,959,193,965,186
130,835,84,895,116,880,124,959,193,965,186,1039,130
130,895,116,880,124,959,193,965,186,1039,130,1039,130
130,880,124,959,193,965,186,1039,130,1039,130,1039,130
130,959,193,965,186,1039,130,1039,130,1039,130,1039,130
130,965,186,1039,130,1039,130,1039,130,1039,130,1039,130
130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
130,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
173,1039,130,1039,130,1039,130,1039,130,1039,130,1039,130
195,1039,130,1039,130,1039,130,1039,130,1039,130,1044,173
15,1039,130,1039,130,1039,130,1039,130,1044,173,902,195
53,1039,130,1039,130,1039,130,1044,173,902,195,1071,15
27,1039,130,1039,130,1044,173,902,195,1071,15,991,53
27,1039,130,1044,173,902,195,1071,15,991,53,1078,27
0,1044,173,902,195,1071,15,991,53,1078,27,1080,27
0,902,195,1071,15,991,53,1078,27,1080,27,420,0
12,1071,15,991,53,1078,27,1080,27,420,0,350,0
12,991,53,1078,27,1080,27,420,0,350,0,319,12
296,1078,27,1080,27,420,0,350,0,319,12,317,12
315,1080,27,420,0,350,0,319,12,317,12,429,296
316,420,0,350,0,319,12,317,12,429,296,427,315
316,350,0,319,12,317,12,429,296,427,315,427,316
315,319,12,317,12,429,296,427,315,427,316,427,316
314,317,12,429,296,427,315,427,316,427,316,430,315
314,429,296,427,315,427,316,427,316,430,315,431,314
314,427,315,427,316,427,316,430,315,431,314,431,314
314,427,316,427,316,430,315,431,314,431,314,431,314
314,427,316,430,315,431,314,431,314,431,314,432,314
314,430,315,431,314,431,314,431,314,432,314,433,314
314,431,314,431,314,431,314,432,314,433,314,433,314
312,431,314,431,314,432,314,433,314,433,314,433,314
153,431,314,432,314,433,314,433,314,433,314,433,312
215,432,314,433,314,433,314,433,314,433,312,497,153
135,433,314,433,314,433,314,433,312,497,153,519,215
134,433,314,433,314,433,312,497,153,519,215,483,135
134,433,314,433,312,497,153,519,215,483,135,480,134
123,433,312,497,153,519,215,483,135,480,134,480,134
123,497,153,519,215,483,135,480,134,480,134,549,123
123,519,215,483,135,480,134,480,134,549,123,557,123
123,483,135,480,134,480,134,549,123,557,123,557,123
